UnixTime	Latitude	Longitude	Altitude
1480726440	-78.988091	153.022827	39857.109375
1480726540	-78.990654	152.968414	39850.691406
1480726640	-78.993248	152.914276	39854.500000
1480726740	-78.995567	152.860321	39849.011719
1480726840	-78.997688	152.806641	39860.828125
1480726940	-78.999870	152.754059	39866.070312
1480727040	-79.002045	152.702515	39871.488281
1480727140	-79.003952	152.651245	39903.289062
1480727240	-79.005692	152.600311	39915.609375
1480727340	-79.007500	152.549911	39902.898438
1480727440	-79.009422	152.499832	39895.089844
1480727540	-79.011398	152.449402	39898.199219
1480727640	-79.013138	152.397324	39898.890625
1480727740	-79.014610	152.343979	39897.140625
1480727840	-79.016151	152.292480	39909.859375
1480727940	-79.017761	152.242615	39918.328125
1480728040	-79.019218	152.191071	39901.039062
1480728140	-79.020752	152.137604	39897.300781
1480728240	-79.022537	152.084488	39916.191406
1480728340	-79.024376	152.031769	39918.230469
1480728440	-79.026245	151.979095	39902.488281
1480728540	-79.028435	151.927109	39875.160156
1480728640	-79.030991	151.875198	39826.601562
1480728740	-79.033600	151.823090	39818.089844
1480728840	-79.035988	151.770401	39828.910156
1480728940	-79.038033	151.715927	39810.101562
1480729040	-79.039932	151.661026	39803.019531
1480729140	-79.042015	151.607269	39806.109375
1480729240	-79.044304	151.553314	39809.878906
1480729340	-79.046631	151.498306	39824.851562
1480729440	-79.048897	151.443161	39822.121094
1480729540	-79.051208	151.388336	39797.191406
1480729640	-79.053635	151.334122	39808.320312
1480729740	-79.056007	151.279404	39804.558594
1480729840	-79.058281	151.224869	39777.300781
1480729940	-79.060600	151.171387	39781.859375
1480730040	-79.062843	151.117584	39764.308594
1480730140	-79.065018	151.063232	39747.199219
1480730240	-79.067276	151.009476	39777.648438
1480730340	-79.069481	150.955536	39766.761719
1480730440	-79.071632	150.901337	39733.949219
1480730540	-79.073914	150.848114	39752.128906
1480730640	-79.076233	150.794830	39749.910156
1480730748	-79.078812	150.737244	39727.808594
1480730848	-79.081161	150.683014	39729.738281
1480730948	-79.083160	150.626328	39733.960938
1480731048	-79.084763	150.567886	39756.460938
1480731148	-79.085999	150.508347	39781.109375
1480731248	-79.086990	150.449158	39796.921875
1480731348	-79.087822	150.390854	39798.339844
1480731448	-79.088715	150.331833	39781.718750
1480731548	-79.089722	150.272202	39796.539062
1480731648	-79.090500	150.212784	39796.109375
1480731748	-79.091217	150.154251	39772.531250
1480731854	-79.092194	150.092834	39794.671875
1480731954	-79.093124	150.034500	39776.191406
1480732054	-79.094055	149.976089	39773.230469
1480732154	-79.094955	149.917297	39807.488281
1480732254	-79.095772	149.857376	39769.308594
1480732354	-79.096657	149.796677	39753.789062
1480732454	-79.097687	149.735062	39768.898438
1480732554	-79.098755	149.672470	39747.738281
1480732654	-79.099754	149.610291	39749.339844
1480732754	-79.100769	149.548737	39765.000000
1480732854	-79.101753	149.485992	39737.449219
1480732962	-79.102524	149.417068	39746.539062
1480733062	-79.102966	149.352051	39771.031250
1480733162	-79.103050	149.285950	39733.250000
1480733262	-79.102898	149.219635	39747.089844
1480733362	-79.102539	149.152161	39762.160156
1480733462	-79.101830	149.083862	39738.871094
1480733562	-79.100792	149.015900	39772.289062
1480733662	-79.099663	148.948547	39750.070312
1480733768	-79.098473	148.876480	39755.250000
1480733868	-79.097382	148.807480	39773.750000
1480733968	-79.096405	148.739120	39768.339844
1480734068	-79.095512	148.670502	39777.800781
1480734168	-79.094780	148.601318	39769.269531
1480734268	-79.094154	148.531952	39766.968750
1480734368	-79.093369	148.461975	39784.250000
1480734468	-79.092316	148.391434	39782.589844
1480734568	-79.091286	148.321381	39780.750000
1480734668	-79.090347	148.251862	39765.988281
1480734768	-79.089546	148.183762	39788.660156
1480734868	-79.088684	148.116013	39824.058594
1480734968	-79.087708	148.048111	39794.750000
1480735068	-79.086967	147.979889	39811.050781
1480735168	-79.086723	147.912369	39812.371094
1480735268	-79.086632	147.846268	39785.570312
1480735368	-79.086311	147.779907	39785.320312
1480735468	-79.086090	147.713196	39783.878906
1480735568	-79.086021	147.646271	39767.101562
1480735668	-79.085808	147.578522	39770.859375
1480735768	-79.085564	147.511169	39772.648438
1480735868	-79.085419	147.444366	39771.820312
1480735968	-79.085083	147.375900	39775.289062
1480736068	-79.084740	147.306335	39771.949219
1480736168	-79.084717	147.237854	39776.589844
